,,,,,,,,
,Excel Sample Data,,,,,,,
,,,,,,,,
,Supermarket Sales Data,,,,,,,
,,,,,,,,
,,,,,,,Tax,10%
,,,,,,,,
,Order No,Order Date,Customer Name,Ship Date,Retail Price (USD),Order Quantity,Tax (USD),Total (USD)
,1001,1/1/2024,John Smith,1/3/2024,49.99,2,9.998,109.978
,1002,1/1/2024,Jane Doe,1/4/2024,29.99,1,2.999,32.989
,1003,1/2/2024,Michael Johnson,1/7/2024,99.99,3,29.997,329.967
,1004,1/2/2024,Emily Brown,1/3/2024,19.99,4,7.996,87.956
,1005,1/3/2024,David Wilson,1/8/2024,149.99,1,14.999,164.989
,1006,1/3/2024,Lisa Taylor,1/6/2024,79.99,2,15.998,175.978
,1007,1/4/2024,Daniel Martinez,1/6/2024,39.99,3,11.997,131.967
,1008,1/4/2024,Sarah Anderson,1/9/2024,69.99,2,13.998,153.978
,1009,1/5/2024,Christopher Thomas,1/6/2024,89.99,1,8.999,98.989
,1010,1/5/2024,Kimberly Garcia,1/8/2024,199.99,1,19.999,219.989
,1011,1/6/2024,William Hernandez,1/7/2024,29.99,5,14.995,164.945
,1012,1/6/2024,Melissa Lopez,1/8/2024,79.99,2,15.998,175.978
,1013,1/7/2024,Richard Perez,1/9/2024,49.99,3,14.997,164.967
,1014,1/7/2024,Jessica Gonzalez,1/12/2024,129.99,1,12.999,142.989
,1015,1/8/2024,Matthew Wilson,1/13/2024,19.99,4,7.996,87.956
,1016,1/8/2024,Amanda Martinez,1/12/2024,149.99,1,14.999,164.989
,1017,1/9/2024,James Johnson,1/14/2024,69.99,2,13.998,153.978
,1018,1/9/2024,Laura Brown,1/12/2024,39.99,3,11.997,131.967
,1019,1/10/2024,Daniel Smith,1/11/2024,199.99,1,19.999,219.989
,1020,1/10/2024,Jennifer Davis,1/14/2024,29.99,5,14.995,164.945
,1021,1/11/2024,Michael Garcia,1/14/2024,79.99,2,15.998,175.978
,1022,1/11/2024,Amy Hernandez,1/15/2024,49.99,3,14.997,164.967
,1023,1/12/2024,Christopher Rodriguez,1/17/2024,129.99,1,12.999,142.989
,1024,1/12/2024,Jessica Martinez,1/17/2024,19.99,4,7.996,87.956
,1025,1/13/2024,David Wilson,1/17/2024,149.99,1,14.999,164.989
,1026,1/13/2024,Sarah Smith,1/14/2024,69.99,2,13.998,153.978
,1027,1/14/2024,Matthew Johnson,1/18/2024,39.99,3,11.997,131.967
,1028,1/14/2024,Emily Davis,1/19/2024,199.99,1,19.999,219.989
,1029,1/15/2024,Daniel Wilson,1/19/2024,29.99,5,14.995,164.945
,1030,1/15/2024,Jennifer Martinez,1/19/2024,79.99,2,15.998,175.978
,1031,1/16/2024,Michael Smith,1/19/2024,49.99,3,14.997,164.967
,1032,1/16/2024,Jessica Johnson,1/17/2024,129.99,1,12.999,142.989
,1033,1/17/2024,David Brown,1/19/2024,19.99,4,7.996,87.956
,1034,1/17/2024,Sarah Garcia,1/19/2024,149.99,1,14.999,164.989
,1035,1/18/2024,Matthew Hernandez,1/23/2024,69.99,2,13.998,153.978
,1036,1/18/2024,Emily Rodriguez,1/19/2024,39.99,3,11.997,131.967
,1037,1/19/2024,Daniel Davis,1/20/2024,199.99,1,19.999,219.989
,1038,1/19/2024,Jennifer Smith,1/22/2024,29.99,5,14.995,164.945
,1039,1/20/2024,Michael Johnson,1/24/2024,79.99,2,15.998,175.978
,1040,1/20/2024,Jessica Martinez,1/21/2024,49.99,3,14.997,164.967
,1041,1/21/2024,David Wilson,1/26/2024,129.99,1,12.999,142.989
,1042,1/21/2024,Sarah Johnson,1/23/2024,19.99,4,7.996,87.956
,1043,1/22/2024,Matthew Garcia,1/25/2024,149.99,1,14.999,164.989
,1044,1/22/2024,Emily Brown,1/25/2024,69.99,2,13.998,153.978
,1045,1/23/2024,Daniel Hernandez,1/27/2024,39.99,3,11.997,131.967
,1046,1/23/2024,Jennifer Davis,1/26/2024,199.99,1,19.999,219.989
,1047,1/24/2024,Michael Martinez,1/25/2024,29.99,5,14.995,164.945
,1048,1/24/2024,Jessica Wilson,1/26/2024,79.99,2,15.998,175.978
,1049,1/25/2024,David Rodriguez,1/30/2024,49.99,3,14.997,164.967
,1050,1/25/2024,Sarah Gonzalez,1/27/2024,129.99,1,12.999,142.989
,1051,1/26/2024,Matthew Smith,1/29/2024,19.99,4,7.996,87.956
,1052,1/26/2024,Emily Johnson,1/28/2024,149.99,1,14.999,164.989
,1053,1/27/2024,Daniel Brown,1/31/2024,69.99,2,13.998,153.978
,1054,1/27/2024,Jennifer Hernandez,1/31/2024,39.99,3,11.997,131.967
,1055,1/28/2024,Michael Davis,1/29/2024,199.99,1,19.999,219.989
,1056,1/28/2024,Jessica Smith,1/29/2024,29.99,5,14.995,164.945
,1057,1/29/2024,David Martinez,1/30/2024,79.99,2,15.998,175.978
,1058,1/29/2024,Sarah Johnson,1/31/2024,49.99,3,14.997,164.967
,1059,1/30/2024,Matthew Garcia,1/31/2024,129.99,1,12.999,142.989
,1060,1/30/2024,Emily Brown,2/1/2024,19.99,4,7.996,87.956
